City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Weather,Country,Date
339,Nabire,-3.37,135.48,77.16,87,100,3.67,moderate rain,ID,2020-11-29 16:38:10
340,Ahome,25.92,-109.18,66.99,59,5,8.05,clear sky,MX,2020-11-29 16:48:10
341,Vrangel,42.73,133.08,24.98,80,0,12.64,clear sky,RU,2020-11-29 16:48:10
342,Taoudenni,22.68,-3.98,74.82,20,97,3.36,overcast clouds,ML,2020-11-29 16:48:10
343,Nyrob,60.73,56.72,4.28,93,0,2.64,clear sky,RU,2020-11-29 16:48:10
344,Riverton,40.52,-111.94,34.0,80,1,0.6,clear sky,US,2020-11-29 16:48:10
345,North Bend,43.41,-124.22,42.01,93,1,6.93,clear sky,US,2020-11-29 16:43:19
346,Snyder,32.72,-100.92,41.0,75,90,21.92,overcast clouds,US,2020-11-29 16:48:10
347,Walvis Bay,-22.96,14.51,64.4,68,0,13.87,clear sky,NA,2020-11-29 16:35:55
348,Khorinsk,52.17,109.77,4.42,91,62,2.59,broken clouds,RU,2020-11-29 16:48:11
349,Raga,8.46,25.68,79.43,21,45,4.68,scattered clouds,SS,2020-11-29 16:48:11
350,Caravelas,-17.71,-39.25,79.56,72,16,10.29,few clouds,BR,2020-11-29 16:48:11
351,Odweyne,9.41,45.06,73.2,58,16,7.65,few clouds,SO,2020-11-29 16:48:11
352,Kolosovka,56.47,73.61,2.26,94,0,5.44,clear sky,RU,2020-11-29 16:48:11
353,Ban Phaeo,13.59,100.11,75.0,84,62,6.85,broken clouds,TH,2020-11-29 16:48:11
354,Pevek,69.7,170.31,-0.65,93,100,7.74,overcast clouds,RU,2020-11-29 16:48:11
355,Chicama,-7.84,-79.15,66.2,82,75,11.41,mist,PE,2020-11-29 16:48:12
356,San Francisco,37.77,-122.42,52.0,74,55,1.01,broken clouds,US,2020-11-29 16:46:02
357,Aksehir,38.36,31.42,41.4,64,16,3.09,few clouds,TR,2020-11-29 16:48:12
358,Nuuk,64.18,-51.72,30.2,80,75,20.8,broken clouds,GL,2020-11-29 16:38:31
359,Katobu,-4.94,122.53,77.47,90,95,1.99,overcast clouds,ID,2020-11-29 16:48:12
360,Sulangan,11.14,123.72,82.76,78,0,17.22,clear sky,PH,2020-11-29 16:48:12
361,Eston,51.15,-108.75,12.2,92,20,18.34,few clouds,CA,2020-11-29 16:45:04
362,Krasnoselkup,65.7,82.47,2.75,93,93,11.23,overcast clouds,RU,2020-11-29 16:48:12
363,Bowen,-20.02,148.23,68.0,82,75,9.17,broken clouds,AU,2020-11-29 16:48:12
364,Havelock,34.88,-76.9,64.99,72,1,8.05,clear sky,US,2020-11-29 16:46:11
365,Luanda,-8.84,13.23,82.4,78,20,10.29,few clouds,AO,2020-11-29 16:48:11
366,Deputatskiy,69.3,139.9,-15.72,89,23,6.64,few clouds,RU,2020-11-29 16:38:20
