City_ID,City,Country,Max Temp,Current Weather,Lat,Lng,Hotel Name
628,Aborlan,PH,78.93,light rain,9.44,118.55,Kevina Transient House
629,Badvel,IN,72.34,overcast clouds,14.75,79.05,R&B Bungalow
630,Giyani,ZA,72.09,moderate rain,-23.3,30.72,Kulani Country Lodge
631,Quang Ngai,VN,74.26,moderate rain,15.12,108.8,Central Hotel
632,Key West,US,82.0,scattered clouds,24.56,-81.78,Fairfield Inn & Suites by Marriott Key West
633,Channapatna,IN,71.01,light intensity drizzle,12.65,77.22,Farm house channapatna Bangalore mysore road
636,Tocopilla,CL,72.95,few clouds,-22.09,-70.2,Hotel Galvarino
637,Itupiranga,BR,87.8,light rain,-5.13,-49.33,JAIRO ORLINDO VIEIRA
643,Kabo,CF,83.84,clear sky,7.7,18.63,
653,Bang Saphan,TH,81.0,clear sky,11.21,99.51,Ladawan Boutique Hotel
655,Tubuala,PA,86.0,scattered clouds,9.52,-79.03,
661,Ormara,PK,75.0,clear sky,25.21,64.64,
663,Buritis,BR,82.09,overcast clouds,-15.62,-46.42,Hotel Rainha do Vale
664,Foso,GH,79.84,light rain,5.7,-1.29,Pristina Cottage
666,Tautira,PF,78.8,broken clouds,-17.73,-149.15,Pension Oaoa
672,Allapalli,IN,70.2,clear sky,19.42,80.07,Hotel IK Residency
679,Porto Seguro,BR,78.8,scattered clouds,-16.45,-39.06,Porto Cálem Praia Hotel
680,Kailua,US,73.0,scattered clouds,21.4,-157.74,Sheffield House Bed & Breakfast
682,Mahanoro,MG,76.41,clear sky,-19.9,48.8,BUNGALOW MAHAMANINA
684,Kolondieba,ML,94.8,clear sky,11.09,-6.89,Hotel Dakan
685,Vaitape,PF,81.63,scattered clouds,-16.52,-151.75,Conrad Bora Bora Nui
690,Lampa,CL,87.01,clear sky,-33.28,-70.9,El sueño de Lampa I y II
692,Ca Mau,VN,73.36,moderate rain,9.18,105.15,Khách Sạn Mường Thanh Luxury Cà Mau
695,Aduturai,IN,75.11,scattered clouds,11.01,79.48,Mantra Koodam - CGH Earth
696,Dhidhdhoo,MV,83.57,scattered clouds,6.88,73.1,Dhidhoo beach
701,Liberia,LR,81.21,light rain,6.5,-9.5,
703,Banda Aceh,ID,78.13,overcast clouds,5.56,95.32,OYO 884 Rumoh PMI Hotel
704,Maryborough,AU,75.99,clear sky,-25.53,152.7,Blue Shades Motel
